"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Use of MonitorMe in COPD","Not yet recruiting","No Results Available","Chronic Obstructive Pulmonary Disease","Device: MonitorMe","University of Lincoln, Lincoln, United Kingdom","https://ClinicalTrials.gov/show/NCT04108143"
2,"AN ANESTHESIA-CENTERED BUNDLE TO REDUCE POSTOPERATIVE PULMONARY COMPLICATIONS: THE PRIME-AIR STUDY","Not yet recruiting","No Results Available","Postoperative Pulmonary Complications","Other: Preoperative Education|Procedure: Intraoperative PEEP Individualization|Other: Individualization of Neuromuscular Blockade|Procedure: Postoperative Incentive Spirometry|Behavioral: Postoperative Ambulation",,"https://ClinicalTrials.gov/show/NCT04108130"
3,"Surgical and Oncologic Outcomes After Robotic Nipple Sparing Mastectomy and Immediate Reconstruction","Not yet recruiting","No Results Available","Postoperative Complications|Recurrence|Breast Neoplasms|Breast Cancer|BRCA1 Mutation|BRCA2 Mutation|Surgery|Surgery--Complications","Procedure: Robotic nipple sparing mastectomy","Yonsei University College of Medicine, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04108117"
4,"Clinical Outcome of a Patented Pharmaceutical Composition (KT-110) to Treat Alcohol Use Disorder While Avoiding Major Side Effects","Not yet recruiting","No Results Available","Alcohol Use Disorder","Drug: Cyproheptadine|Drug: Alpress LP",,"https://ClinicalTrials.gov/show/NCT04108104"
5,"Vyndaqel Capsules Special Investigation (ATTR-CM)","Not yet recruiting","No Results Available","Transthyretin (TTR) Amyloid Cardiomyopathy","Drug: Treatment for TTR amyloidosis","Pfizer, Tokyo, Japan","https://ClinicalTrials.gov/show/NCT04108091"
6,"Promoting Reductions in Intersectional StigMa (PRISM) - GHANA","Not yet recruiting","No Results Available","HIV|Stigma|HIV Testing","Behavioral: A multi-level stigma-reduction intervention",,"https://ClinicalTrials.gov/show/NCT04108078"
7,"The Role of Pregnancy-induced Gallbladder Dysmotility in the Pathophysiology of Gestational Diabetes Mellitus","Recruiting","No Results Available","Gestational Diabetes Mellitus",,"Center for Clinical Metabolic Research, Gentofte Hospital, University of Copenhagen, Hellerup, Denmark","https://ClinicalTrials.gov/show/NCT04108065"
8,"Diagnostic Value of Ultra-low Dose Thoracic Scanner for the Pulmonary Arteriovenous Malformation Detection in HHT Patient","Not yet recruiting","No Results Available","Hemorrhagic Hereditary Telangiectasia (HHT)","Radiation: Low CT scanner without injection dose|Radiation: Ultra-low dose CT scanner without injection","Hospices Civils de Lyon - Hopital Louis Pradel, Bron, France","https://ClinicalTrials.gov/show/NCT04108052"
9,"Micronized Progesterone vs Gonadotropin-releasing Hormone (GnRH) Antagonist in Freeze-all IVF Cycles.","Recruiting","No Results Available","Infertility|IVF|Preimplantation Diagnosis","Drug: GnRh antagonist|Drug: Micronized progesterone","Institut Universitari Dexeus, Barcelona, Catalunya, Spain","https://ClinicalTrials.gov/show/NCT04108039"
10,"Immunotherapy in Patient With Poor General Condition","Not yet recruiting","No Results Available","Non-small Cell Lung Cancer Stage IV","Drug: Durvalumab","Besançon - CHU, Besançon, France|Hôpital Ambroise Paré - Pneumologie, Boulogne, France|Caen - CHU Côte de Nacre, Caen, France|CH, Colmar, France|CHRU Grenoble, Grenoble, France|Centre Hospitalier - Pneumologie, Le Mans, France|CHRU de Lille, Lille, France|AP-HM Hopital Nord, Marseille, France|Montpellier - CHRU, Montpellier, France|GRH Mulhouse Sud-Alsace, Mulhouse, France|Nancy - Institut de Cancérologie de Lorraine, Nancy, France|Nantes - ICO Site René Gauducheau, Nantes, France|CHR d'Orléans La Source, Orléans, France|AP-HP Hopital Tenon - Pneumologie, Paris, France|Paris - APHP Bichat, Paris, France|Paris - Curie, Paris, France|Lyon - URCOT, Pierre-Bénite, France|CHU Strasbourg, Strasbourg, France|CHU Toulouse - Pneumologie, Toulouse, France|CHU Tours - Pneumologie, Tours, France","https://ClinicalTrials.gov/show/NCT04108026"
